# Main file: Tests/pb2/output.csv
numIteration,tail,head,freeFlowCost,actualCost,capacity,flow
7,4,1,0,0,10,0
7,4,7,0,0,10,7.0418
7,5,6,360,270.414,10,2.9582
7,6,7,0,0,10,2.9582
7,6,8,0,37.2388,10,10
7,9,10,0,0,10,0
7,9,12,0,90,10,0
7,9,13,0,282.388,10,10
7,10,11,360,360.395,10,2.92506
7,11,0,0,0,10,0
7,11,14,0,0,10,2.92506
7,12,13,360,283.53,10,7.07494
7,13,14,0,0,10,7.07494
7,13,15,0,36.0508,10,10
8,0,1,36,36.049,10,3.0871
8,0,3,0,0,10,6.9129
8,0,8,0,0,10,0
8,0,12,4,33.1273,3,7.12848
8,1,0,36,37.3944,10,7.12848
8,1,5,4,68.244,1,3.0871
8,1,10,0,0,10,2.87152
8,1,15,0,0,10,0
8,2,3,0,0,10,0
8,2,5,0,90,10,0
8,2,6,0,270.414,10,10
8,3,4,360,372.332,10,6.9129
8,4,1,0,0,10,0
8,4,7,0,0,10,6.9129
8,5,6,360,270.49,10,3.0871
8,6,7,0,0,10,3.0871
8,6,8,0,37.353,10,10
8,9,10,0,0,10,0
8,9,12,0,90,10,0
8,9,13,0,283.53,10,10
8,10,11,360,360.367,10,2.87152
8,11,0,0,0,10,0
8,11,14,0,0,10,2.87152
8,12,13,360,283.944,10,7.12848
8,13,14,0,0,10,7.12848
8,13,15,0,36.0414,10,10
9,0,1,36,36.0437,10,2.99905
9,0,3,0,0,10,7.00095
9,0,8,0,0,10,0
9,0,12,4,34.0216,3,7.21038
9,1,0,36,37.4596,10,7.21038
9,1,5,4,62.5386,1,2.99905
9,1,10,0,0,10,2.78962
9,1,15,0,0,10,0
9,2,3,0,0,10,0
9,2,5,0,90,10,0
9,2,6,0,270.49,10,10
9,3,4,360,372.972,10,7.00095
9,4,1,0,0,10,0
9,4,7,0,0,10,7.00095
9,5,6,360,270.437,10,2.99905
9,6,7,0,0,10,2.99905
9,6,8,0,37.3944,10,10
9,9,10,0,0,10,0
9,9,12,0,90,10,0
9,9,13,0,283.944,10,10
9,10,11,360,360.327,10,2.78962
9,11,0,0,0,10,0
9,11,14,0,0,10,2.78962
9,12,13,360,284.596,10,7.21038
9,13,14,0,0,10,7.21038
9,13,15,0,36.049,10,10
10,0,1,36,36.0482,10,3.07332
10,0,3,0,0,10,6.92668
10,0,8,0,0,10,0
10,0,12,4,34.3523,3,7.23997
10,1,0,36,37.4837,10,7.23997
10,1,5,4,67.3513,1,3.07332
10,1,10,0,0,10,2.76003
10,1,15,0,0,10,0
10,2,3,0,0,10,0
10,2,5,0,90,10,0
10,2,6,0,270.437,10,10
10,3,4,360,372.431,10,6.92668
10,4,1,0,0,10,0
10,4,7,0,0,10,6.92668
10,5,6,360,270.482,10,3.07332
10,6,7,0,0,10,3.07332
10,6,8,0,37.4596,10,10
10,9,10,0,0,10,0
10,9,12,0,90,10,0
10,9,13,0,284.596,10,10
10,10,11,360,360.313,10,2.76003
10,11,0,0,0,10,0
10,11,14,0,0,10,2.76003
10,12,13,360,284.837,10,7.23997
10,13,14,0,0,10,7.23997
10,13,15,0,36.0437,10,10
11,0,1,36,36.045,10,3.02064
11,0,3,0,0,10,6.97936
11,0,8,0,0,10,0
11,0,12,4,34.8896,3,7.28729
11,1,0,36,37.5228,10,7.28729
11,1,5,4,63.9374,1,3.02064
11,1,10,0,0,10,2.71271
11,1,15,0,0,10,0
