# Input graph: amod_fw/data/elastic_Pb2/exp/1_0/graph.gr.bin
# OD-pairs: amod_fw/data/elastic_Pb2/exp/1_0/od.csv
# Objective: UE
# Function: elastic
# Shortest-path algo: ch
# Period of analysis: 1h
# Sampling intervals: [1@1]
# Preprocessing time: 0ms
iteration,sampling_interval,customization_time,query_time,line_search_time,total_time,avg_change,max_change,obj_function_value,total_travel_cost,checksum
89,1,0,0,1,1,5.37663e-05,0.000160333,463237,739780,739730
90,1,0,0,3,3,5.37314e-05,0.000160308,463320,739792,739690
91,1,0,0,3,3,5.37622e-05,0.000106889,463231,739775,739710
92,1,0,0,0,0,5.37593e-05,0.000106878,463311,739787,739690
93,1,0,0,1,1,6.74443e-05,0.000106889,463233,739769,739720
94,1,0,0,2,2,8.11221e-05,0.000109451,463714,739856,739700
95,1,0,0,4,4,0.00013456,0.000213778,463801,739871,739740
96,1,0,0,4,4,5.40554e-05,0.000106866,463692,739847,739780
97,1,0,0,4,4,8.07636e-05,0.000160282,463772,739887,739760
98,1,0,0,4,4,6.71424e-05,0.000160308,463675,739857,739810
99,1,0,0,1,1,6.71068e-05,0.000160282,463757,739869,739760
100,1,0,0,11,11,6.71147e-05,0.000160308,463668,739852,739810
101,1,0,0,5,5,6.71068e-05,0.000160282,463748,739863,739760
102,1,0,0,4,4,2.6718e-05,0.000106872,463670,739846,739780
103,1,0,0,11,11,8.10888e-05,0.000109236,464128,739930,739780
104,1,0,0,8,8,0.000134543,0.000213744,464212,739943,739820
105,1,0,0,4,4,5.40496e-05,0.000106849,464106,739921,739860
106,1,0,0,2,2,5.40184e-05,0.000109236,464184,739959,739860
107,1,0,0,1,1,4.03653e-05,0.000106849,464086,739929,739870
108,1,0,0,0,0,6.70983e-05,0.000160256,464168,739941,739820
109,1,0,0,0,0,5.40496e-05,0.000106855,464098,739925,739860
110,1,0,0,1,1,6.77516e-05,0.000109445,464164,739952,739850
111,1,0,0,2,2,4.04187e-05,5.47285e-05,464052,739923,739860
112,1,0,0,12,12,8.07818e-05,0.000160265,464137,739936,739820
113,1,0,0,0,0,8.07889e-05,0.000160291,464046,739918,739860
114,1,0,0,1,1,8.07818e-05,0.000160265,464127,739930,739820
115,1,0,0,1,1,6.71083e-05,0.000160291,464038,739912,739870
116,1,0,0,4,4,6.71004e-05,0.000160265,464117,739924,739820
117,1,0,0,3,3,4.03689e-05,0.00010686,464030,739907,739850
118,1,0,0,5,5,4.03653e-05,0.000106849,464108,739918,739820
119,1,0,0,2,2,4.03689e-05,0.00010686,464022,739901,739850
120,1,0,0,23,23,6.71032e-05,0.000160274,464098,739913,739800
121,1,0,0,2,2,2.67165e-05,0.000106866,464015,739894,739820
122,1,0,0,12,12,6.77018e-05,0.00010923,464085,739926,739810
123,1,0,0,1,1,4.03979e-05,0.000106866,463982,739897,739840
124,1,0,0,1,1,8.07576e-05,0.000160282,464064,739909,739780
125,1,0,0,2,2,6.7114e-05,0.000160308,463976,739892,739830
126,1,0,0,4,4,6.71061e-05,0.000160282,464054,739903,739780
127,1,0,0,5,5,8.07946e-05,0.000160308,463986,739888,739840
128,1,0,0,3,3,8.1109e-05,0.000109439,464431,739967,739820
129,1,0,0,3,3,0.000134565,0.000213732,464508,739980,739880
130,1,0,0,23,23,5.40695e-05,5.47226e-05,464407,739958,739900
131,1,0,0,0,0,5.40423e-05,0.000106838,464482,739995,739880
132,1,0,0,1,1,4.03929e-05,0.000106849,464386,739966,739910
133,1,0,0,1,1,6.70968e-05,0.000160256,464465,739978,739860
134,1,0,0,4,4,6.71047e-05,0.000160282,464379,739961,739910
135,1,0,0,3,3,6.70968e-05,0.000160256,464455,739972,739860
136,1,0,0,12,12,4.03667e-05,0.000106855,464370,739955,739890
137,1,0,0,8,8,4.03631e-05,0.000106843,464445,739967,739860
