# Main file: Tests/pb1/output.csv
numIteration,tail,head,freeFlowCost,actualCost,capacity,flow
1,0,1,36,41.4,10,10
1,0,3,0,0,10,0
1,0,8,0,0,10,10
1,1,0,36,41.4,10,10
1,1,5,4,84.2,3,10
1,2,3,0,0,10,10
1,2,5,0,90,10,0
1,3,4,18000,20700,10,10
1,4,1,0,0,10,10
1,4,7,0,0,10,0
1,5,6,18000,20610,10,10
1,6,7,0,0,10,10
1,6,8,0,36,10,0
2,0,1,36,41.3649,10,9.9837
2,0,3,0,0,10,0.0163025
2,0,8,0,0,10,10
2,1,0,36,41.4,10,10
2,1,5,4,83.8479,3,9.9837
2,2,3,0,0,10,10
2,2,5,0,90,10,0
2,3,4,18000,20717.6,10,10.0163
2,4,1,0,0,10,10
2,4,7,0,0,10,0.0163025
2,5,6,18000,20592.4,10,9.9837
2,6,7,0,0,10,9.9837
2,6,8,0,41.4,10,0
3,0,1,36,41.3649,10,9.98372
3,0,3,0,0,10,0.016276
3,0,8,0,0,10,9.98377
3,1,0,36,41.365,10,9.98377
3,1,5,4,83.8484,3,9.98372
3,2,3,0,0,10,9.98377
3,2,5,0,90,10,0.0162333
3,3,4,18000,20700,10,10
3,4,1,0,0,10,9.98377
3,4,7,0,0,10,0.016276
3,5,6,18000,20610,10,9.99996
3,6,7,0,0,10,9.98372
3,6,8,0,41.4,10,0.0162333
4,0,1,36,38.8863,10,8.5504
4,0,3,0,0,10,1.4496
4,0,8,0,0,10,8.55044
4,1,0,36,38.8863,10,8.55044
4,1,5,4,53.5924,3,8.5504
4,2,3,0,0,10,8.55044
4,2,5,0,90,10,1.44956
4,3,4,18000,20700,10,10
4,4,1,0,0,10,8.55044
4,4,7,0,0,10,1.4496
4,5,6,18000,20610,10,9.99996
4,6,7,0,0,10,8.5504
4,6,8,0,41.365,10,1.44956
5,0,1,36,38.8863,10,8.5504
5,0,3,0,0,10,1.4496
5,0,8,0,0,10,8.55044
5,1,0,36,38.8863,10,8.55044
5,1,5,4,53.5924,3,8.5504
5,2,3,0,0,10,8.55044
5,2,5,0,90,10,1.44956
5,3,4,18000,20700,10,10
5,4,1,0,0,10,8.55044
5,4,7,0,0,10,1.4496
5,5,6,18000,20610,10,9.99996
5,6,7,0,0,10,8.5504
5,6,8,0,38.8863,10,1.44956
6,0,1,36,38.8863,10,8.5504
6,0,3,0,0,10,1.4496
6,0,8,0,0,10,8.55044
6,1,0,36,38.8863,10,8.55044
6,1,5,4,53.5924,3,8.5504
6,2,3,0,0,10,8.55044
6,2,5,0,90,10,1.44956
6,3,4,18000,20700,10,10
6,4,1,0,0,10,8.55044
6,4,7,0,0,10,1.4496
6,5,6,18000,20610,10,9.99996
6,6,7,0,0,10,8.5504
6,6,8,0,38.8863,10,1.44956
7,0,1,36,38.8863,10,8.5504
7,0,3,0,0,10,1.4496
7,0,8,0,0,10,8.55043
7,1,0,36,38.8863,10,8.55043
7,1,5,4,53.5924,3,8.5504
7,2,3,0,0,10,8.55043
7,2,5,0,90,10,1.44957
7,3,4,18000,20700,10,10
7,4,1,0,0,10,8.55043
7,4,7,0,0,10,1.4496
7,5,6,18000,20610,10,9.99997
7,6,7,0,0,10,8.5504
7,6,8,0,38.8863,10,1.44957
8,0,1,36,38.8863,10,8.5504
8,0,3,0,0,10,1.4496
8,0,8,0,0,10,8.55043
8,1,0,36,38.8863,10,8.55043
8,1,5,4,53.5924,3,8.5504
8,2,3,0,0,10,8.55043
8,2,5,0,90,10,1.44957
8,3,4,18000,20700,10,10
8,4,1,0,0,10,8.55043
8,4,7,0,0,10,1.4496
8,5,6,18000,20610,10,9.99997
8,6,7,0,0,10,8.5504
8,6,8,0,38.8863,10,1.44957
9,0,1,36,38.8863,10,8.5504
9,0,3,0,0,10,1.4496
9,0,8,0,0,10,8.55043
9,1,0,36,38.8863,10,8.55043
9,1,5,4,53.5924,3,8.5504
9,2,3,0,0,10,8.55043
9,2,5,0,90,10,1.44957
9,3,4,18000,20700,10,10
9,4,1,0,0,10,8.55043
9,4,7,0,0,10,1.4496
9,5,6,18000,20610,10,9.99997
9,6,7,0,0,10,8.5504
9,6,8,0,38.8863,10,1.44957
10,0,1,36,38.8863,10,8.5504
10,0,3,0,0,10,1.4496
10,0,8,0,0,10,8.55043
10,1,0,36,38.8863,10,8.55043
10,1,5,4,53.5924,3,8.5504
10,2,3,0,0,10,8.55043
10,2,5,0,90,10,1.44957
10,3,4,18000,20700,10,10
10,4,1,0,0,10,8.55043
10,4,7,0,0,10,1.4496
10,5,6,18000,20610,10,9.99997
10,6,7,0,0,10,8.5504
10,6,8,0,38.8863,10,1.44957
11,0,1,36,38.8863,10,8.5504
11,0,3,0,0,10,1.4496
11,0,8,0,0,10,8.55043
11,1,0,36,38.8863,10,8.55043
11,1,5,4,53.5924,3,8.5504
11,2,3,0,0,10,8.55043
11,2,5,0,90,10,1.44957
11,3,4,18000,20700,10,10
11,4,1,0,0,10,8.55043
11,4,7,0,0,10,1.4496
11,5,6,18000,20610,10,9.99997
11,6,7,0,0,10,8.5504
11,6,8,0,38.8863,10,1.44957
12,0,1,36,38.8863,10,8.5504
12,0,3,0,0,10,1.4496
12,0,8,0,0,10,8.55043
12,1,0,36,38.8863,10,8.55043
12,1,5,4,53.5924,3,8.5504
12,2,3,0,0,10,8.55043
12,2,5,0,90,10,1.44957
12,3,4,18000,20700,10,10
12,4,1,0,0,10,8.55043
12,4,7,0,0,10,1.4496
12,5,6,18000,20610,10,9.99997
12,6,7,0,0,10,8.5504
12,6,8,0,38.8863,10,1.44957
13,0,1,36,38.8863,10,8.5504
13,0,3,0,0,10,1.4496
13,0,8,0,0,10,8.55043
13,1,0,36,38.8863,10,8.55043
13,1,5,4,53.5924,3,8.5504
13,2,3,0,0,10,8.55043
13,2,5,0,90,10,1.44957
13,3,4,18000,20700,10,10
13,4,1,0,0,10,8.55043
13,4,7,0,0,10,1.4496
13,5,6,18000,20610,10,9.99997
13,6,7,0,0,10,8.5504
13,6,8,0,38.8863,10,1.44957
14,0,1,36,38.8863,10,8.5504
14,0,3,0,0,10,1.4496
14,0,8,0,0,10,8.55043
14,1,0,36,38.8863,10,8.55043
14,1,5,4,53.5924,3,8.5504
14,2,3,0,0,10,8.55043
14,2,5,0,90,10,1.44957
14,3,4,18000,20700,10,10
14,4,1,0,0,10,8.55043
14,4,7,0,0,10,1.4496
14,5,6,18000,20610,10,9.99997
14,6,7,0,0,10,8.5504
14,6,8,0,38.8863,10,1.44957
15,0,1,36,38.8863,10,8.5504
15,0,3,0,0,10,1.4496
15,0,8,0,0,10,8.55043
15,1,0,36,38.8863,10,8.55043
