# Input graph: amod_fw/data/elastic_Pb1/exp/2_0/graph.gr.bin
# OD-pairs: amod_fw/data/elastic_Pb1/exp/2_0/od.csv
# Objective: UE
# Function: elastic
# Shortest-path algo: ch
# Period of analysis: 1h
# Sampling intervals: [1@1]
# Preprocessing time: 0ms
iteration,sampling_interval,customization_time,query_time,line_search_time,total_time,avg_change,max_change,obj_function_value,total_travel_cost,checksum
1,1,0,0,0,0,nan,nan,370938,414770,359960
2,1,0,0,0,0,0.15127,0.152561,370938,414767,414410
3,1,0,0,0,0,0.000820397,0.000867846,370937,414765,414390
4,1,0,0,0,0,0.000796347,0.000820345,370843,414414,414400
5,1,0,0,0,0,7.2324e-05,0.000144648,370843,414410,414370
6,1,0,0,0,0,0,0,370843,414410,414370
7,1,0,0,3,3,0,0,370843,414410,414370
8,1,0,0,1,1,0,0,370843,414410,414370
9,1,0,0,1,1,0,0,370843,414410,414370
10,1,0,0,1,1,0,0,370843,414410,414370
11,1,0,0,1,1,0,0,370843,414410,414370
12,1,1,0,1,2,0,0,370843,414410,414370
13,1,0,0,0,0,0,0,370843,414410,414370
14,1,0,0,0,0,0,0,370843,414410,414370
15,1,0,0,6,6,0,0,370843,414410,414370
16,1,0,0,1,1,0,0,370843,414410,414370
17,1,0,0,2,2,0,0,370843,414410,414370
18,1,0,0,1,1,0,0,370843,414410,414370
19,1,0,0,1,1,0,0,370843,414410,414370
20,1,0,0,5,5,0,0,370843,414410,414370
