# Main file: Tests/SimpleProblem/2_0/output.csv
numIteration,tail,head,freeFlowCost,actualCost,capacity,flow
13,5,6,3600,3617.97,10,4.27106
13,6,7,0,0,10,4.27106
13,6,8,0,0,10,0
14,0,1,36,36.1797,10,4.27106
14,0,3,0,0,10,5.72894
14,0,8,0,0,10,0
14,1,0,36,36,10,0
14,1,5,4,4.01997,10,4.27106
14,2,3,0,0,10,0
14,2,5,0,0,10,0
14,3,4,3600,3658.17,10,5.72894
14,4,1,0,0,10,0
14,4,7,0,0,10,5.72894
14,5,6,3600,3617.97,10,4.27106
14,6,7,0,0,10,4.27106
14,6,8,0,0,10,0
15,0,1,36,36.1797,10,4.27106
15,0,3,0,0,10,5.72894
15,0,8,0,0,10,0
15,1,0,36,36,10,0
15,1,5,4,4.01997,10,4.27106
15,2,3,0,0,10,0
15,2,5,0,0,10,0
15,3,4,3600,3658.17,10,5.72894
15,4,1,0,0,10,0
15,4,7,0,0,10,5.72894
15,5,6,3600,3617.97,10,4.27106
15,6,7,0,0,10,4.27106
15,6,8,0,0,10,0
16,0,1,36,36.1797,10,4.27106
16,0,3,0,0,10,5.72894
16,0,8,0,0,10,0
16,1,0,36,36,10,0
16,1,5,4,4.01997,10,4.27106
16,2,3,0,0,10,0
16,2,5,0,0,10,0
16,3,4,3600,3658.17,10,5.72894
16,4,1,0,0,10,0
16,4,7,0,0,10,5.72894
16,5,6,3600,3617.97,10,4.27106
16,6,7,0,0,10,4.27106
16,6,8,0,0,10,0
17,0,1,36,36.1797,10,4.27106
17,0,3,0,0,10,5.72894
17,0,8,0,0,10,0
17,1,0,36,36,10,0
17,1,5,4,4.01997,10,4.27106
17,2,3,0,0,10,0
17,2,5,0,0,10,0
17,3,4,3600,3658.17,10,5.72894
17,4,1,0,0,10,0
17,4,7,0,0,10,5.72894
17,5,6,3600,3617.97,10,4.27106
17,6,7,0,0,10,4.27106
17,6,8,0,0,10,0
18,0,1,36,36.1797,10,4.27106
18,0,3,0,0,10,5.72894
18,0,8,0,0,10,0
18,1,0,36,36,10,0
18,1,5,4,4.01997,10,4.27106
18,2,3,0,0,10,0
18,2,5,0,0,10,0
18,3,4,3600,3658.17,10,5.72894
18,4,1,0,0,10,0
18,4,7,0,0,10,5.72894
18,5,6,3600,3617.97,10,4.27106
18,6,7,0,0,10,4.27106
18,6,8,0,0,10,0
19,0,1,36,36.1797,10,4.27106
19,0,3,0,0,10,5.72894
19,0,8,0,0,10,0
19,1,0,36,36,10,0
19,1,5,4,4.01997,10,4.27106
19,2,3,0,0,10,0
19,2,5,0,0,10,0
19,3,4,3600,3658.17,10,5.72894
19,4,1,0,0,10,0
19,4,7,0,0,10,5.72894
19,5,6,3600,3617.97,10,4.27106
19,6,7,0,0,10,4.27106
19,6,8,0,0,10,0
20,0,1,36,36.1797,10,4.27106
20,0,3,0,0,10,5.72894
20,0,8,0,0,10,0
20,1,0,36,36,10,0
20,1,5,4,4.01997,10,4.27106
20,2,3,0,0,10,0
20,2,5,0,0,10,0
20,3,4,3600,3658.17,10,5.72894
20,4,1,0,0,10,0
20,4,7,0,0,10,5.72894
20,5,6,3600,3617.97,10,4.27106
20,6,7,0,0,10,4.27106
20,6,8,0,0,10,0
